clickup_id,clickup_name,mongo_id,mongo_name,is_archived
"4cm4pan","magicalweddings.eu","6a3d1b1493c772b89ce187d5","Magical Weddings EU",false
"869abar0g","maileg.com","69bab188c9c81f3c492db576","Maileg Rest",false
"869agquta","matterscph.com","69baaaac63277f116b086f8d","MattersCPH DK",false
"8696g7u2e","miltonhuse.dk","6a3d1b6e93c772b89ce1c549","Miltonhuse DK",false
"869ab5pcb","musclehouse.dk","6967906fa72471ae8549eab2","Musclehouse SE",false
"4cm4nu8","mygarage.dk","6a3d1c1d93c772b89ce21328","Mygarage DK",false
"4cm4p9x","Oese.dk","6a3d1cda93c772b89ce2509c","Oese DK",false
"8694mqfbn","olavdelinde.dk","6a3d1d5893c772b89ce28e10","Olavdelinde DK",false
"8694ctu5k","onjtractors.com","6a3d1dfb93c772b89ce2cb8a","ONJ Tractors COM",false
"4cm4nph","organicbasics.com","69c11b6afc65e4ff99a07b28","Organic Basics EU",false
"86989wm0k","oversizedliftingclub.com","6a0aff09b79863ecfdc2966d","Oversized Lifting Club",false
"4cm4p06","petrowsky.dk","6a3d1e6693c772b89ce30900","Petrowsky DK",false
"869a84xwn","philipsonwine.com","6a3cf9a793c772b89cd9fbce","Philipsonwine COM",false
"4cm4n7a","pilebyg.dk","6a3d1fb593c772b89ce34676","PileByg DK",false
"4cm4p4b","pompdelux.dk","6956c1dd3245b503d711953e","Pompdelux DE",false
"4cm4nwt","pooloasen.dk","697a07b3c5db19408ec14f69","PoolOasen DK",false
"860qcj6k6","poulstigbriller.dk","6a3d204693c772b89ce37bbc","Poulstigbriller DK",false
"4cm4n4q","rains.com","695bafb0fb3292910a1a9eb5","Rains INT",false
"860qk4gcp","ruebirch.dk","6a3d21e2197e5b332ada679e","Ruebirch Markets",false
"8694y8bku","sandbysmeden.dk","6a3d22fd197e5b332ada9cee","Sandby Smeden DK",false
"8694w30jj","searchmind.dk","6a2bf1b5be106fcd31654e3f","Searchmind B2B [TEST - WIP]",false
"3212xv6","selandia-trailers.dk","6a3d24dc197e5b332adad234","Selandia Trailers DK",false
"8696ju36x","slagterlampe.dk","6971e1f28666e41cc011ec9f","Slagterlampe DK",false
"869340k8v","slikposen.dk","6a3d2815fccacef4dd391fd8","Slikposen DK",false
"4cm4p4w","stifinder.com","6a3d287afccacef4dd395d4b","Stifinder COM",false
"860pkhbnr","tattoo96.dk","6a3d2a07fccacef4dd39cbe6","Tattoo Studio 96 DK",false
"8698dc0de","terrassevarmer.dk","69c0f29dd182b9c6d43588bb","Terrasse Varmer DK",false
"869d5p28b","trainsimple.dk","69f897a4caefaaaedb3d2fc1","Trainsimple DK",false
"32qv1wn","tufra.dk","69c1057dcb8981a838f04a8d","Tufra DK",false
"869buge7m","tuttelu.dk","69ba772bbfb186663951cc98","Tuttelu DK",false
"86948m2fh","VIES.dk","6a3d2ac3fccacef4dd3a3e81","VIES DK",false
"8693jqf3j","vih.dk","6a3d2aedfccacef4dd3a7bf3","VIH DK",false
"869apru6w","woodbird.dk","69678d7ca72471ae8549e9a4","Woodbird DK",false
"3fddhjq","aarhusbadogfliser.dk","69679e1ba72471ae8549ef24","Aarhus Bad og Fliser DK",false
